"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"15-24 years"	"15-24"	"Nebraska"	"31"	"Male"	"M"	30	129566	23.154
	"1999"	"1999"	"15-24 years"	"15-24"	"Nevada"	"32"	"Male"	"M"	33	127687	25.844
	"1999"	"1999"	"15-24 years"	"15-24"	"New Hampshire"	"33"	"Male"	"M"	18	76904	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"New Jersey"	"34"	"Female"	"F"	15	486868	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"New Jersey"	"34"	"Male"	"M"	46	512760	8.971
	"1999"	"1999"	"15-24 years"	"15-24"	"New Mexico"	"35"	"Male"	"M"	53	135686	39.061
	"1999"	"1999"	"15-24 years"	"15-24"	"New York"	"36"	"Female"	"F"	31	1233625	2.513
	"1999"	"1999"	"15-24 years"	"15-24"	"New York"	"36"	"Male"	"M"	126	1272073	9.905
	"1999"	"1999"	"15-24 years"	"15-24"	"North Carolina"	"37"	"Female"	"F"	21	528501	3.974
	"1999"	"1999"	"15-24 years"	"15-24"	"North Carolina"	"37"	"Male"	"M"	108	570557	18.929
	"1999"	"1999"	"15-24 years"	"15-24"	"North Dakota"	"38"	"Male"	"M"	15	54570	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Ohio"	"39"	"Female"	"F"	15	765265	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Ohio"	"39"	"Male"	"M"	135	779600	17.317
	"1999"	"1999"	"15-24 years"	"15-24"	"Oklahoma"	"40"	"Female"	"F"	12	248674	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Oklahoma"	"40"	"Male"	"M"	66	266102	24.803
	"1999"	"1999"	"15-24 years"	"15-24"	"Oregon"	"41"	"Male"	"M"	48	241023	19.915
	"1999"	"1999"	"15-24 years"	"15-24"	"Pennsylvania"	"42"	"Female"	"F"	26	786043	3.308
	"1999"	"1999"	"15-24 years"	"15-24"	"Pennsylvania"	"42"	"Male"	"M"	139	802982	17.310
	"1999"	"1999"	"15-24 years"	"15-24"	"South Carolina"	"45"	"Male"	"M"	55	291711	18.854
	"1999"	"1999"	"15-24 years"	"15-24"	"South Dakota"	"46"	"Male"	"M"	29	58892	49.243
	"1999"	"1999"	"15-24 years"	"15-24"	"Tennessee"	"47"	"Male"	"M"	69	394375	17.496
	"1999"	"1999"	"15-24 years"	"15-24"	"Texas"	"48"	"Female"	"F"	38	1506817	2.522
	"1999"	"1999"	"15-24 years"	"15-24"	"Texas"	"48"	"Male"	"M"	251	1611727	15.573
	"1999"	"1999"	"15-24 years"	"15-24"	"Utah"	"49"	"Male"	"M"	59	218100	27.052
	"1999"	"1999"	"15-24 years"	"15-24"	"Virginia"	"51"	"Female"	"F"	13	459755	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Virginia"	"51"	"Male"	"M"	74	489000	15.133
	"1999"	"1999"	"15-24 years"	"15-24"	"Washington"	"53"	"Female"	"F"	23	390731	5.886
	"1999"	"1999"	"15-24 years"	"15-24"	"Washington"	"53"	"Male"	"M"	100	414779	24.109
	"1999"	"1999"	"15-24 years"	"15-24"	"West Virginia"	"54"	"Male"	"M"	24	127945	18.758
	"1999"	"1999"	"15-24 years"	"15-24"	"Wisconsin"	"55"	"Female"	"F"	12	370225	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Wisconsin"	"55"	"Male"	"M"	89	387640	22.959
	"1999"	"1999"	"15-24 years"	"15-24"	"Wyoming"	"56"	"Male"	"M"	17	39446	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Alabama"	"01"	"Female"	"F"	14	308250	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Alabama"	"01"	"Male"	"M"	69	300073	22.994
	"1999"	"1999"	"25-34 years"	"25-34"	"Alaska"	"02"	"Male"	"M"	15	46704	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Arizona"	"04"	"Female"	"F"	20	354781	5.637
	"1999"	"1999"	"25-34 years"	"25-34"	"Arizona"	"04"	"Male"	"M"	123	383757	32.052
	"1999"	"1999"	"25-34 years"	"25-34"	"Arkansas"	"05"	"Female"	"F"	15	175246	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Arkansas"	"05"	"Male"	"M"	44	176049	24.993
	"1999"	"1999"	"25-34 years"	"25-34"	"California"	"06"	"Female"	"F"	111	2559586	4.337
	"1999"	"1999"	"25-34 years"	"25-34"	"California"	"06"	"Male"	"M"	404	2718957	14.859
	"1999"	"1999"	"25-34 years"	"25-34"	"Colorado"	"08"	"Female"	"F"	16	312607	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Colorado"	"08"	"Male"	"M"	86	342250	25.128
	"1999"	"1999"	"25-34 years"	"25-34"	"Connecticut"	"09"	"Male"	"M"	33	227998	14.474
	"1999"	"1999"	"25-34 years"	"25-34"	"Delaware"	"10"	"Male"	"M"	14	54940	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Florida"	"12"	"Female"	"F"	59	1036079	5.695
	"1999"	"1999"	"25-34 years"	"25-34"	"Florida"	"12"	"Male"	"M"	232	1056626	21.957
	"1999"	"1999"	"25-34 years"	"25-34"	"Georgia"	"13"	"Female"	"F"	30	642732	4.668
	"1999"	"1999"	"25-34 years"	"25-34"	"Georgia"	"13"	"Male"	"M"	157	651618	24.094
	"1999"	"1999"	"25-34 years"	"25-34"	"Hawaii"	"15"	"Male"	"M"	29	90014	32.217
	"1999"	"1999"	"25-34 years"	"25-34"	"Idaho"	"16"	"Male"	"M"	22	84607	26.003
	"1999"	"1999"	"25-34 years"	"25-34"	"Illinois"	"17"	"Female"	"F"	27	906416	2.979
	"1999"	"1999"	"25-34 years"	"25-34"	"Illinois"	"17"	"Male"	"M"	159	919295	17.296
	"1999"	"1999"	"25-34 years"	"25-34"	"Indiana"	"18"	"Female"	"F"	13	415602	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Indiana"	"18"	"Male"	"M"	108	421341	25.632
	"1999"	"1999"	"25-34 years"	"25-34"	"Iowa"	"19"	"Male"	"M"	41	185897	22.055
	"1999"	"1999"	"25-34 years"	"25-34"	"Kansas"	"20"	"Male"	"M"	47	179830	26.136
	"1999"	"1999"	"25-34 years"	"25-34"	"Kentucky"	"21"	"Female"	"F"	12	284672	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Kentucky"	"21"	"Male"	"M"	75	285353	26.283
	"1999"	"1999"	"25-34 years"	"25-34"	"Louisiana"	"22"	"Female"	"F"	18	310491	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Louisiana"	"22"	"Male"	"M"	83	298091	27.844
	"1999"	"1999"	"25-34 years"	"25-34"	"Maine"	"23"	"Male"	"M"	25	78153	31.989
	"1999"	"1999"	"25-34 years"	"25-34"	"Maryland"	"24"	"Female"	"F"	14	393451	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Maryland"	"24"	"Male"	"M"	66	370486	17.814
	"1999"	"1999"	"25-34 years"	"25-34"	"Massachusetts"	"25"	"Female"	"F"	15	485017	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Massachusetts"	"25"	"Male"	"M"	69	469735	14.689
	"1999"	"1999"	"25-34 years"	"25-34"	"Michigan"	"26"	"Female"	"F"	22	688607	3.195
	"1999"	"1999"	"25-34 years"	"25-34"	"Michigan"	"26"	"Male"	"M"	167	689292	24.228
	"1999"	"1999"	"25-34 years"	"25-34"	"Minnesota"	"27"	"Male"	"M"	62	341617	18.149
	"1999"	"1999"	"25-34 years"	"25-34"	"Mississippi"	"28"	"Male"	"M"	33	186401	17.704
	"1999"	"1999"	"25-34 years"	"25-34"	"Missouri"	"29"	"Female"	"F"	22	374160	5.880
	"1999"	"1999"	"25-34 years"	"25-34"	"Missouri"	"29"	"Male"	"M"	102	369659	27.593
	"1999"	"1999"	"25-34 years"	"25-34"	"Montana"	"30"	"Male"	"M"	11	51988	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Nebraska"	"31"	"Male"	"M"	34	113756	29.889
	"1999"	"1999"	"25-34 years"	"25-34"	"Nevada"	"32"	"Female"	"F"	13	144631	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Nevada"	"32"	"Male"	"M"	61	158093	38.585
	"1999"	"1999"	"25-34 years"	"25-34"	"New Hampshire"	"33"	"Male"	"M"	22	80549	27.313
	"1999"	"1999"	"25-34 years"	"25-34"	"New Jersey"	"34"	"Female"	"F"	12	605611	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"New Jersey"	"34"	"Male"	"M"	80	599799	13.338
	"1999"	"1999"	"25-34 years"	"25-34"	"New Mexico"	"35"	"Female"	"F"	13	117603	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"New Mexico"	"35"	"Male"	"M"	41	117176	34.990
	"1999"	"1999"	"25-34 years"	"25-34"	"New York"	"36"	"Female"	"F"	38	1426399	2.664
	"1999"	"1999"	"25-34 years"	"25-34"	"New York"	"36"	"Male"	"M"	173	1378533	12.550
	"1999"	"1999"	"25-34 years"	"25-34"	"North Carolina"	"37"	"Female"	"F"	26	601106	4.325
	"1999"	"1999"	"25-34 years"	"25-34"	"North Carolina"	"37"	"Male"	"M"	138	617360	22.353
	"1999"	"1999"	"25-34 years"	"25-34"	"North Dakota"	"38"	"Male"	"M"	10	40591	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Ohio"	"39"	"Female"	"F"	33	773972	4.264
	"1999"	"1999"	"25-34 years"	"25-34"	"Ohio"	"39"	"Male"	"M"	152	765685	19.852
	"1999"	"1999"	"25-34 years"	"25-34"	"Oklahoma"	"40"	"Female"	"F"	28	222795	12.568
	"1999"	"1999"	"25-34 years"	"25-34"	"Oklahoma"	"40"	"Male"	"M"	78	229849	33.935
	"1999"	"1999"	"25-34 years"	"25-34"	"Oregon"	"41"	"Male"	"M"	60	240533	24.945
	"1999"	"1999"	"25-34 years"	"25-34"	"Pennsylvania"	"42"	"Female"	"F"	37	799419	4.628
	"1999"	"1999"	"25-34 years"	"25-34"	"Pennsylvania"	"42"	"Male"	"M"	181	790250	22.904
	"1999"	"1999"	"25-34 years"	"25-34"	"Rhode Island"	"44"	"Male"	"M"	15	70291	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"South Carolina"	"45"	"Female"	"F"	16	284704	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"South Carolina"	"45"	"Male"	"M"	45	280068	16.068
	"1999"	"1999"	"25-34 years"	"25-34"	"South Dakota"	"46"	"Male"	"M"	12	46294	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Tennessee"	"47"	"Female"	"F"	35	410670	8.523
	"1999"	"1999"	"25-34 years"	"25-34"	"Tennessee"	"47"	"Male"	"M"	118	409663	28.804
	"1999"	"1999"	"25-34 years"	"25-34"	"Texas"	"48"	"Female"	"F"	74	1545178	4.789
	"1999"	"1999"	"25-34 years"	"25-34"	"Texas"	"48"	"Male"	"M"	290	1596709	18.162
	"1999"	"1999"	"25-34 years"	"25-34"	"Utah"	"49"	"Male"	"M"	48	166245	28.873
	"1999"	"1999"	"25-34 years"	"25-34"	"Virginia"	"51"	"Female"	"F"	28	522405	5.360
	"1999"	"1999"	"25-34 years"	"25-34"	"Virginia"	"51"	"Male"	"M"	122	526030	23.193
	"1999"	"1999"	"25-34 years"	"25-34"	"Washington"	"53"	"Female"	"F"	22	411936	5.341
	"1999"	"1999"	"25-34 years"	"25-34"	"Washington"	"53"	"Male"	"M"	112	429987	26.047
	"1999"	"1999"	"25-34 years"	"25-34"	"West Virginia"	"54"	"Male"	"M"	25	114257	21.880
	"1999"	"1999"	"25-34 years"	"25-34"	"Wisconsin"	"55"	"Female"	"F"	18	352126	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Wisconsin"	"55"	"Male"	"M"	76	361214	21.040
	"1999"	"1999"	"25-34 years"	"25-34"	"Wyoming"	"56"	"Male"	"M"	13	30290	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Alabama"	"01"	"Female"	"F"	24	351301	6.832
	"1999"	"1999"	"35-44 years"	"35-44"	"Alabama"	"01"	"Male"	"M"	96	335631	28.603
	"1999"	"1999"	"35-44 years"	"35-44"	"Alaska"	"02"	"Male"	"M"	18	60064	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Arizona"	"04"	"Female"	"F"	42	376826	11.146
	"1999"	"1999"	"35-44 years"	"35-44"	"Arizona"	"04"	"Male"	"M"	110	384610	28.600
	"1999"	"1999"	"35-44 years"	"35-44"	"Arkansas"	"05"	"Female"	"F"	18	199609	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Arkansas"	"05"	"Male"	"M"	52	195273	26.629
	"1999"	"1999"	"35-44 years"	"35-44"	"California"	"06"	"Female"	"F"	157	2701239	5.812
	"1999"	"1999"	"35-44 years"	"35-44"	"California"	"06"	"Male"	"M"	490	2760947	17.748
	"1999"	"1999"	"35-44 years"	"35-44"	"Colorado"	"08"	"Female"	"F"	29	365690	7.930
	"1999"	"1999"	"35-44 years"	"35-44"	"Colorado"	"08"	"Male"	"M"	106	373273	28.397
	"1999"	"1999"	"35-44 years"	"35-44"	"Connecticut"	"09"	"Female"	"F"	19	294958	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Connecticut"	"09"	"Male"	"M"	38	284561	13.354
	"1999"	"1999"	"35-44 years"	"35-44"	"Delaware"	"10"	"Male"	"M"	23	62330	36.900
	"1999"	"1999"	"35-44 years"	"35-44"	"District of Columbia"	"11"	"Male"	"M"	11	44096	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Florida"	"12"	"Female"	"F"	114	1233241	9.244
	"1999"	"1999"	"35-44 years"	"35-44"	"Florida"	"12"	"Male"	"M"	334	1223234	27.305
	"1999"	"1999"	"35-44 years"	"35-44"	"Georgia"	"13"	"Female"	"F"	42	675072	6.222
	"1999"	"1999"	"35-44 years"	"35-44"	"Georgia"	"13"	"Male"	"M"	132	660376	19.989
	"1999"	"1999"	"35-44 years"	"35-44"	"Hawaii"	"15"	"Male"	"M"	30	97666	30.717
	"1999"	"1999"	"35-44 years"	"35-44"	"Idaho"	"16"	"Female"	"F"	12	96110	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Idaho"	"16"	"Male"	"M"	31	97386	31.832
	"1999"	"1999"	"35-44 years"	"35-44"	"Illinois"	"17"	"Female"	"F"	54	1001148	5.394
	"1999"	"1999"	"35-44 years"	"35-44"	"Illinois"	"17"	"Male"	"M"	184	986053	18.660
	"1999"	"1999"	"35-44 years"	"35-44"	"Indiana"	"18"	"Female"	"F"	29	483409	5.999
	"1999"	"1999"	"35-44 years"	"35-44"	"Indiana"	"18"	"Male"	"M"	118	478858	24.642
	"1999"	"1999"	"35-44 years"	"35-44"	"Iowa"	"19"	"Female"	"F"	11	224126	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Iowa"	"19"	"Male"	"M"	49	224360	21.840
	"1999"	"1999"	"35-44 years"	"35-44"	"Kansas"	"20"	"Female"	"F"	14	211678	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Kansas"	"20"	"Male"	"M"	47	212272	22.141
	"1999"	"1999"	"35-44 years"	"35-44"	"Kentucky"	"21"	"Female"	"F"	20	324696	6.160
	"1999"	"1999"	"35-44 years"	"35-44"	"Kentucky"	"21"	"Male"	"M"	97	316592	30.639
	"1999"	"1999"	"35-44 years"	"35-44"	"Louisiana"	"22"	"Female"	"F"	26	356925	7.284
	"1999"	"1999"	"35-44 years"	"35-44"	"Louisiana"	"22"	"Male"	"M"	72	339382	21.215
	"1999"	"1999"	"35-44 years"	"35-44"	"Maine"	"23"	"Female"	"F"	10	109011	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Maine"	"23"	"Male"	"M"	33	104519	31.573
	"1999"	"1999"	"35-44 years"	"35-44"	"Maryland"	"24"	"Female"	"F"	22	469739	4.683
	"1999"	"1999"	"35-44 years"	"35-44"	"Maryland"	"24"	"Male"	"M"	76	441710	17.206
	"1999"	"1999"	"35-44 years"	"35-44"	"Massachusetts"	"25"	"Female"	"F"	29	537544	5.395
	"1999"	"1999"	"35-44 years"	"35-44"	"Massachusetts"	"25"	"Male"	"M"	77	519686	14.817
	"1999"	"1999"	"35-44 years"	"35-44"	"Michigan"	"26"	"Female"	"F"	51	808984	6.304
	"1999"	"1999"	"35-44 years"	"35-44"	"Michigan"	"26"	"Male"	"M"	166	796374	20.844
	"1999"	"1999"	"35-44 years"	"35-44"	"Minnesota"	"27"	"Female"	"F"	22	408256	5.389
	"1999"	"1999"	"35-44 years"	"35-44"	"Minnesota"	"27"	"Male"	"M"	90	414785	21.698
	"1999"	"1999"	"35-44 years"	"35-44"	"Mississippi"	"28"	"Female"	"F"	13	218646	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Mississippi"	"28"	"Male"	"M"	62	205967	30.102
	"1999"	"1999"	"35-44 years"	"35-44"	"Missouri"	"29"	"Female"	"F"	34	448167	7.586
	"1999"	"1999"	"35-44 years"	"35-44"	"Missouri"	"29"	"Male"	"M"	126	438657	28.724
	"1999"	"1999"	"35-44 years"	"35-44"	"Montana"	"30"	"Female"	"F"	10	72952	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Montana"	"30"	"Male"	"M"	26	71273	36.479
	"1999"	"1999"	"35-44 years"	"35-44"	"Nebraska"	"31"	"Female"	"F"	10	132342	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Nebraska"	"31"	"Male"	"M"	30	133565	22.461
	"1999"	"1999"	"35-44 years"	"35-44"	"Nevada"	"32"	"Female"	"F"	13	151100	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Nevada"	"32"	"Male"	"M"	64	164054	39.012
	"1999"	"1999"	"35-44 years"	"35-44"	"New Hampshire"	"33"	"Male"	"M"	20	109539	18.258
	"1999"	"1999"	"35-44 years"	"35-44"	"New Jersey"	"34"	"Female"	"F"	37	725132	5.103
	"1999"	"1999"	"35-44 years"	"35-44"	"New Jersey"	"34"	"Male"	"M"	105	706034	14.872
	"1999"	"1999"	"35-44 years"	"35-44"	"New Mexico"	"35"	"Female"	"F"	15	143832	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"New Mexico"	"35"	"Male"	"M"	54	139789	38.630
	"1999"	"1999"	"35-44 years"	"35-44"	"New York"	"36"	"Female"	"F"	45	1563349	2.878
	"1999"	"1999"	"35-44 years"	"35-44"	"New York"	"36"	"Male"	"M"	206	1506475	13.674
	"1999"	"1999"	"35-44 years"	"35-44"	"North Carolina"	"37"	"Female"	"F"	43	646608	6.650
	"1999"	"1999"	"35-44 years"	"35-44"	"North Carolina"	"37"	"Male"	"M"	149	632761	23.548
	"1999"	"1999"	"35-44 years"	"35-44"	"Ohio"	"39"	"Female"	"F"	46	921019	4.994
	"1999"	"1999"	"35-44 years"	"35-44"	"Ohio"	"39"	"Male"	"M"	203	895854	22.660
	"1999"	"1999"	"35-44 years"	"35-44"	"Oklahoma"	"40"	"Female"	"F"	26	264662	9.824
	"1999"	"1999"	"35-44 years"	"35-44"	"Oklahoma"	"40"	"Male"	"M"	88	262484	33.526
	"1999"	"1999"	"35-44 years"	"35-44"	"Oregon"	"41"	"Female"	"F"	26	266709	9.748
	"1999"	"1999"	"35-44 years"	"35-44"	"Oregon"	"41"	"Male"	"M"	76	266688	28.498
	"1999"	"1999"	"35-44 years"	"35-44"	"Pennsylvania"	"42"	"Female"	"F"	64	991694	6.454
	"1999"	"1999"	"35-44 years"	"35-44"	"Pennsylvania"	"42"	"Male"	"M"	245	966081	25.360
	"1999"	"1999"	"35-44 years"	"35-44"	"Rhode Island"	"44"	"Male"	"M"	22	83123	26.467
	"1999"	"1999"	"35-44 years"	"35-44"	"South Carolina"	"45"	"Female"	"F"	15	317733	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"South Carolina"	"45"	"Male"	"M"	81	304550	26.597
	"1999"	"1999"	"35-44 years"	"35-44"	"South Dakota"	"46"	"Male"	"M"	11	58318	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Tennessee"	"47"	"Female"	"F"	35	458345	7.636
	"1999"	"1999"	"35-44 years"	"35-44"	"Tennessee"	"47"	"Male"	"M"	138	441235	31.276
	"1999"	"1999"	"35-44 years"	"35-44"	"Texas"	"48"	"Female"	"F"	104	1644244	6.325
	"1999"	"1999"	"35-44 years"	"35-44"	"Texas"	"48"	"Male"	"M"	353	1656972	21.304
	"1999"	"1999"	"35-44 years"	"35-44"	"Utah"	"49"	"Female"	"F"	13	147930	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Utah"	"49"	"Male"	"M"	55	151324	36.346
	"1999"	"1999"	"35-44 years"	"35-44"	"Vermont"	"50"	"Male"	"M"	12	50274	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"Virginia"	"51"	"Female"	"F"	41	601916	6.812
	"1999"	"1999"	"35-44 years"	"35-44"	"Virginia"	"51"	"Male"	"M"	131	588717	22.252
	"1999"	"1999"	"35-44 years"	"35-44"	"Washington"	"53"	"Female"	"F"	34	488094	6.966
	"1999"	"1999"	"35-44 years"	"35-44"	"Washington"	"53"	"Male"	"M"	139	493491	28.167
	"1999"	"1999"	"35-44 years"	"35-44"	"West Virginia"	"54"	"Female"	"F"	10	140381	Unreliable
	"1999"	"1999"	"35-44 years"	"35-44"	"West Virginia"	"54"	"Male"	"M"	37	135276	27.351
	"1999"	"1999"	"35-44 years"	"35-44"	"Wisconsin"	"55"	"Female"	"F"	29	437025	6.636
	"1999"	"1999"	"35-44 years"	"35-44"	"Wisconsin"	"55"	"Male"	"M"	93	439947	21.139
	"1999"	"1999"	"45-54 years"	"45-54"	"Alabama"	"01"	"Female"	"F"	17	301328	Unreliable
	"1999"	"1999"	"45-54 years"	"45-54"	"Alabama"	"01"	"Male"	"M"	73	284323	25.675
	"1999"	"1999"	"45-54 years"	"45-54"	"Alaska"	"02"	"Male"	"M"	14	48831	Unreliable
	"1999"	"1999"	"45-54 years"	"45-54"	"Arizona"	"04"	"Female"	"F"	39	308541	12.640
	"1999"	"1999"	"45-54 years"	"45-54"	"Arizona"	"04"	"Male"	"M"	95	296226	32.070
	"1999"	"1999"	"45-54 years"	"45-54"	"Arkansas"	"05"	"Male"	"M"	36	166308	21.647
	"1999"	"1999"	"45-54 years"	"45-54"	"California"	"06"	"Female"	"F"	149	2124931	7.012
	"1999"	"1999"	"45-54 years"	"45-54"	"California"	"06"	"Male"	"M"	445	2064379	21.556
	"1999"	"1999"	"45-54 years"	"45-54"	"Colorado"	"08"	"Female"	"F"	26	295671	8.794
